ID,Name,Duration,AS,AF,FloorID
290,Final Paint @ Function Room 1,4,,,FR1
100,Firestopping & Inspections @ Function Room 1,5,28-Apr-16,29-Apr-16,FR1
17,Frame & Core Board Risers/Stairs/Elevators @ Function Room 1,10,2-May-16,3-May-16,FR1
70,Frame Walls & Ceilings @ Function Room 1,10,,,FR1
250,Install Architectural Finishes & Trim  @ Function Room 1,10,,,FR1
12,Install CMU Walls @ Function Room 1,15,9-May-16,,FR1
160,Install Electrical Finishes @ Function Room 1,5,,,FR1
173,Install FA Devices @ Function Room 1,5,,,FR1
230,Install Flooring @ Function Room 1,6,,,FR1
170,Install Lighting @ Function Room 1,4,,,FR1
130,Install Mechanical Finishes @ Function Room 1,2,,,FR1
257,Install Millwork @ Function Room 1,15,,,FR1
262,Install Movable Partitions @ Function Room 1,5,,,FR1
150,Install Plumbing Finishes @ Function Room 1,2,,,FR1
140,Install Sprinkler Heads @ Function Room 1,4,,,FR1
10,Layout & Top Track @ Function Room 1,5,4-Apr-16,5-Apr-16,FR1
280,Perform Plumbing & Sprinkler Finish Inspection @ Function Room 1,1,,,FR1
120,Prime Paint @ Function Room 1,5,,,FR1
300,Punchlist  @ Function Room 1,5,6-Apr-16,7-Apr-16,FR1
20,Rough Duct Work @ Function Room 1,10,6-Apr-16,7-Apr-16,FR1
60,Rough Electrical/FA/BMS @ Function Room 1,10,7-Apr-16,27-Apr-16,FR1
30,Rough Mechanical Piping @ Function Room 1,10,6-Apr-16,27-Apr-16,FR1
40,Rough Plumbing @ Function Room 1,10,6-Apr-16,7-Apr-16,FR1
290,Final Paint @ Function Room 2,4,,,FR2
100,Firestopping & Inspections @ Function Room 2,5,4-May-16,5-May-16,FR2
17,Frame & Core Board Risers/Stairs/Elevators @ Function Room 2,10,,,FR2
70,Frame Walls & Ceilings @ Function Room 2,10,,,FR2
250,Install Architectural Finishes & Trim  @ Function Room 2,10,8-Sep-15,10-Sep-15,FR2
12,Install CMU Walls @ Function Room 2,15,,,FR2
160,Install Electrical Finishes @ Function Room 2,5,,,FR2
173,Install FA Devices @ Function Room 2,5,,,FR2
230,Install Flooring @ Function Room 2,6,,,FR2
170,Install Lighting @ Function Room 2,4,,,FR2
130,Install Mechanical Finishes @ Function Room 2,2,,,FR2
257,Install Millwork @ Function Room 2,15,,,FR2
262,Install Movable Partitions @ Function Room 2,5,,,FR2
150,Install Plumbing Finishes @ Function Room 2,2,,,FR2
140,Install Sprinkler Heads @ Function Room 2,4,,,FR2
10,Layout & Top Track @ Function Room 2,5,8-Apr-16,8-Apr-16,FR2
280,Perform Plumbing & Sprinkler Finish Inspection @ Function Room 2,1,14-Sep-15,17-Sep-15,FR2
120,Prime Paint @ Function Room 2,5,,,FR2
300,Punchlist  @ Function Room 2,5,1-Oct-15,2-Oct-15,FR2
20,Rough Duct Work @ Function Room 2,10,8-Apr-16,8-Apr-16,FR2
60,Rough Electrical/FA/BMS @ Function Room 2,10,2-May-16,2-May-16,FR2
30,Rough Mechanical Piping @ Function Room 2,10,11-Apr-16,3-May-16,FR2
40,Rough Plumbing @ Function Room 2,10,21-Apr-16,29-Apr-16,FR2
290,Final Paint @ Lounge,4,,,LNG
100,Firestopping & Inspections @ Lounge,5,,,LNG
123,Flash Patch Floor @ Lounge,5,,,LNG
17,Frame & Core Board Risers/Stairs/Elevators @ Lounge,10,,,LNG
70,Frame Walls & Ceilings @ Lounge,10,,,LNG
253,Install & Protect Wood Flooring @ Lounge,5,,,LNG
250,Install Architectural Finishes & Trim  @ Lounge,10,,,LNG
185,Install Ceiling Tile @ Lounge,5,,,LNG
270,Install Corridor Flooring @ Lounge,5,,,LNG
260,Install Doors @ Lounge,5,,,LNG
