ID,Name,Duration,AS,AF,FloorID
10,Layout & Top Track @ 13th Floor,6,9-Jan-15,16-Jan-15,13
20,Rough Duct Work @ 13th Floor,5,15-Jan-15,19-Jan-15,13
30,Rough Mechanical Piping @ 13th Floor,5,15-Jan-15,19-Jan-15,13
40,Rough Plumbing @ 13th Floor,5,15-Jan-15,19-Jan-15,13
50,Rough Sprinkler @ 13th Floor,5,15-Jan-15,19-Jan-15,13
60,Rough Electrical @ 13th Floor,5,15-Jan-15,19-Jan-15,13
70,Frame Walls & Ceilings @ 13th Floor,5,30-Jan-15,5-Nov-15,13
80,Install Plumbing Frames & Crotons @ 13th Floor,5,16-Feb-15,6-Nov-15,13
90,Pull Wire @ 13th Floor,15,16-Feb-15,6-Nov-15,13
100,Firestopping & Inspections @ 13th Floor,5,6-Nov-15,23-Dec-15,13
110,Sheetrock & Tape Walls & Celings @ 13th Floor,15,12-Nov-15,1-Dec-15,13
120,Prime Paint @ 13th Floor,4,9-Dec-15,14-Dec-15,13
130,Install Mechanical Finishes @ 13th Floor,2,18-Dec-15,21-Dec-15,13
140,Install Sprinkler Heads @ 13th Floor,4,15-Dec-15,17-Dec-15,13
150,Install Plumbing Finishes @ 13th Floor,1,18-Dec-15,18-Dec-15,13
160,Install Electrical Finishes @ 13th Floor,4,15-Dec-15,18-Dec-15,13
170,Install Lighting @ 13th Floor,4,15-Dec-15,18-Dec-15,13
180,"Install Vanity, Sink & Shower Enclosure @ 13th Floor",6,29-Apr-16,6-May-16,13
190,Tile Bathroom Floors & Walls @ 13th Floor,12,11-Dec-15,29-Dec-15,13
200,Install Kitchen Cabinets @ 13th Floor,8,4-May-16,,13
210,Install Kitchen Counters  @ 13th Floor,5,11-May-16,,13
220,Install Kitchen Sink @ 13th Floor,3,10-May-16,,13
230,Install Flooring & Carpet @ 13th Floor,6,,,13
240,Install Kitchen Appliances @ 13th Floor,5,10-May-16,,13
250,Install Architectural Finishes & Trim  @ 13th Floor,10,,,13
260,Install Doors @ 13th Floor,5,,,13
270,Install Corridor Carpet @ 13th Floor,3,,,13
280,Perform Plumbing & Sprinkler Finish Inspection @ 13th Floor,1,,,13
290,Final Paint Coat on Walls & Trim @ 13th Floor,4,,,13
300,Punchlist  @ 13th Floor,5,,,13
10,Layout & Top Track @ 14th Floor,6,16-Dec-14,23-Dec-14,14
20,Rough Duct Work @ 14th Floor,5,22-Dec-14,24-Dec-14,14
30,Rough Mechanical Piping @ 14th Floor,5,22-Dec-14,24-Dec-14,14
40,Rough Plumbing @ 14th Floor,5,22-Dec-14,24-Dec-14,14
50,Rough Sprinkler @ 14th Floor,5,22-Dec-14,24-Dec-14,14
60,Rough Electrical @ 14th Floor,5,22-Dec-14,24-Dec-14,14
70,Frame Walls & Ceilings @ 14th Floor,5,8-Jan-15,20-Jan-15,14
80,Install Plumbing Frames & Crotons @ 14th Floor,5,21-Jan-15,23-Jan-15,14
90,Pull Wire @ 14th Floor,15,21-Jan-15,23-Jan-15,14
100,Firestopping & Inspections @ 14th Floor,5,26-Jan-15,1-Dec-15,14
110,Sheetrock & Tape Walls & Celings @ 14th Floor,15,10-Nov-15,18-Nov-15,14
120,Prime Paint @ 14th Floor,4,10-Dec-15,15-Dec-15,14
130,Install Mechanical Finishes @ 14th Floor,2,24-Nov-15,25-Nov-15,14
140,Install Sprinkler Heads @ 14th Floor,4,24-Nov-15,30-Nov-15,14
150,Install Plumbing Finishes @ 14th Floor,1,1-Dec-15,1-Dec-15,14
160,Install Electrical Finishes @ 14th Floor,4,24-Nov-15,30-Nov-15,14
170,Install Lighting @ 14th Floor,4,24-Nov-15,30-Nov-15,14
180,"Install Vanity, Sink & Shower Enclosure @ 14th Floor",6,4-May-16,11-May-16,14
190,Tile Bathroom Floors & Walls @ 14th Floor,12,21-Dec-15,7-Jan-16,14
200,Install Kitchen Cabinets @ 14th Floor,8,4-May-16,,14
210,Install Kitchen Counters  @ 14th Floor,5,11-May-16,,14
220,Install Kitchen Sink @ 14th Floor,3,16-May-16,,14
230,Install Flooring & Carpet @ 14th Floor,6,,,14
240,Install Kitchen Appliances @ 14th Floor,5,16-May-16,,14
250,Install Architectural Finishes & Trim  @ 14th Floor,10,,,14
260,Install Doors @ 14th Floor,5,,,14
270,Install Corridor Carpet @ 14th Floor,3,,,14
280,Perform Plumbing & Sprinkler Finish Inspection @ 14th Floor,1,,,14
290,Final Paint Coat on Walls & Trim @ 14th Floor,4,,,14
300,Punchlist  @ 14th Floor,5,,,14
