ID,Name,Duration,AS,AF,FloorID
5,Construct Mechanical Openings @ 10th Floor,20,19-Aug-15,12-Nov-15,10
290,Final Paint @ 10th Floor,4,,,10
100,Firestopping & Inspections @ 10th Floor,5,,,10
3,Form & Pour Concrete Floor @ 10th Floor,15,8-Sep-15,30-Sep-15,10
17,Frame & Core Board Risers/Stairs/Elevators @ 10th Floor,10,22-Jul-14,6-Aug-14,10
70,Frame Walls & Ceilings @ 10th Floor,10,,,10
253,Install & Protect Wood Flooring @ 10th Floor,5,,,10
250,Install Architectural Finishes & Trim  @ 10th Floor,10,,,10
263,Install Barn Door @ 10th Floor,6,,,10
194,Install Bathroom Fixtures & Accessories @ 10th Floor,5,,,10
205,Install Clerestory Windows @ 10th Floor,5,,,10
270,Install Corridor Carpet @ 10th Floor,5,,,10
260,Install Doors @ 10th Floor,5,,,10
160,Install Electrical Finishes @ 10th Floor,5,,,10
173,Install FA Devices @ 10th Floor,5,,,10
267,Install FF&E @ 10th Floor,15,,,10
170,Install Lighting @ 10th Floor,4,,,10
257,Install Millwork @ 10th Floor,15,,,10
150,Install Plumbing Finishes @ 10th Floor,1,,,10
140,Install Sprinkler Heads @ 10th Floor,4,,,10
8,Install Support Steel in Wall Openings @ 10th Floor,20,9-Oct-15,28-Oct-15,10
180,"Install Vanity, Sink & Shower Enclosure @ 10th Floor",6,,,10
10,Layout & Top Track @ 10th Floor,5,16-Jul-14,5-Oct-15,10
280,Perform Plumbing & Sprinkler Finish Inspection @ 10th Floor,1,,,10
120,Prime Paint @ 10th Floor,5,,,10
300,Punchlist  @ 10th Floor,5,,,10
20,Rough Duct Work @ 10th Floor,10,13-Nov-15,7-Dec-15,10
60,Rough Electrical/FA/BMS @ 10th Floor,10,,,10
30,Rough Mechanical Piping @ 10th Floor,10,16-Nov-15,7-Dec-15,10
40,Rough Plumbing @ 10th Floor,10,4-Dec-15,,10
50,Rough Sprinkler @ 10th Floor,10,23-Jul-14,7-Dec-15,10
110,Sheetrock & Tape Walls & Celings @ 10th Floor,15,,,10
190,Tile Bathroom Floors & Walls @ 10th Floor,12,,,10
5,Construct Mechanical Openings @ 2nd Flr Func Rm #3,20,,,F3
290,Final Paint @ 2nd Flr Func Rm #3,4,,,F3
100,Firestopping & Inspections @ 2nd Flr Func Rm #3,5,,,F3
17,Frame & Core Board Risers/Stairs/Elevators @ 2nd Flr Func Rm #3,10,,,F3
70,Frame Walls & Ceilings @ 2nd Flr Func Rm #3,10,,,F3
250,Install Architectural Finishes & Trim  @ 2nd Flr Func Rm #3,10,,,F3
160,Install Electrical Finishes @ 2nd Flr Func Rm #3,5,,,F3
173,Install FA Devices @ 2nd Flr Func Rm #3,5,,,F3
230,Install Flooring & Carpet @ 2nd Flr Func Rm #3,6,,,F3
175,Install Food Service Equipment @ 2nd Flr Func Rm #3,20,,,F3
170,Install Lighting @ 2nd Flr Func Rm #3,4,,,F3
257,Install Millwork @ 2nd Flr Func Rm #3,15,,,F3
177,Install Pantry Quarry Tile @ 2nd Flr Func Rm #3,5,,,F3
150,Install Plumbing Finishes @ 2nd Flr Func Rm #3,1,,,F3
140,Install Sprinkler Heads @ 2nd Flr Func Rm #3,4,,,F3
8,Install Support Steel in Wall Openings @ 2nd Flr Func Rm #3,20,,,F3
10,Layout & Top Track @ 2nd Flr Func Rm #3,5,,,F3
280,Perform Plumbing & Sprinkler Finish Inspection @ 2nd Flr Func Rm #3,1,,,F3
120,Prime Paint @ 2nd Flr Func Rm #3,5,,,F3
300,Punchlist  @ 2nd Flr Func Rm #3,5,,,F3
20,Rough Duct Work @ 2nd Flr Func Rm #3,10,,,F3
60,Rough Electrical/FA/BMS @ 2nd Flr Func Rm #3,10,,,F3
30,Rough Mechanical Piping @ 2nd Flr Func Rm #3,10,,,F3
40,Rough Plumbing @ 2nd Flr Func Rm #3,10,,,F3
50,Rough Sprinkler @ 2nd Flr Func Rm #3,10,,,F3
110,Sheetrock & Tape Walls & Celings @ 2nd Flr Func Rm #3,15,,,F3
5,Construct Mechanical Openings @ 2nd Floor,20,17-Mar-15,17-Apr-15,2
290,Final Paint @ 2nd Floor,4,,,2
100,Firestopping & Inspections @ 2nd Floor,5,,,2
17,Frame & Core Board Risers/Stairs/Elevators @ 2nd Floor,10,9-May-14,16-Jun-14,2
70,Frame Walls & Ceilings @ 2nd Floor,10,,,2
253,Install & Protect Wood Flooring @ 2nd Floor,5,,,2
250,Install Architectural Finishes & Trim  @ 2nd Floor,10,,,2
263,Install Barn Door @ 2nd Floor,6,,,2
194,Install Bathroom Fixtures & Accessories @ 2nd Floor,5,,,2
205,Install Clerestory Windows @ 2nd Floor,5,,,2
270,Install Corridor Carpet @ 2nd Floor,5,,,2
260,Install Doors @ 2nd Floor,5,,,2
160,Install Electrical Finishes @ 2nd Floor,5,,,2
173,Install FA Devices @ 2nd Floor,5,,,2
267,Install FF&E @ 2nd Floor,15,,,2
170,Install Lighting @ 2nd Floor,4,,,2
257,Install Millwork @ 2nd Floor,15,,,2
150,Install Plumbing Finishes @ 2nd Floor,1,,,2
140,Install Sprinkler Heads @ 2nd Floor,4,,,2
8,Install Support Steel in Wall Openings @ 2nd Floor,20,7-Apr-15,20-Apr-15,2
180,"Install Vanity, Sink & Shower Enclosure @ 2nd Floor",6,,,2
10,Layout & Top Track @ 2nd Floor,5,1-May-14,25-Jul-14,2
280,Perform Plumbing & Sprinkler Finish Inspection @ 2nd Floor,1,,,2
120,Prime Paint @ 2nd Floor,5,,,2
300,Punchlist  @ 2nd Floor,5,,,2
20,Rough Duct Work @ 2nd Floor,10,14-Apr-15,16-Apr-15,2
60,Rough Electrical/FA/BMS @ 2nd Floor,10,,,2
30,Rough Mechanical Piping @ 2nd Floor,10,16-Apr-15,22-Apr-15,2
40,Rough Plumbing @ 2nd Floor,10,15-Apr-15,17-Apr-15,2
50,Rough Sprinkler @ 2nd Floor,10,12-May-14,21-Apr-15,2
110,Sheetrock & Tape Walls & Celings @ 2nd Floor,15,,,2
190,Tile Bathroom Floors & Walls @ 2nd Floor,12,,,2
5,Construct Mechanical Openings @ 3rd Floor,20,12-Jun-14,7-Jan-15,3
290,Final Paint @ 3rd Floor,4,,,3
100,Firestopping & Inspections @ 3rd Floor,5,,,3
3,Form & Pour Concrete Floor @ 3rd Floor,15,28-Mar-14,18-Jul-14,3
17,Frame & Core Board Risers/Stairs/Elevators @ 3rd Floor,10,20-Nov-15,27-Nov-15,3
70,Frame Walls & Ceilings @ 3rd Floor,10,23-Nov-15,18-Mar-16,3
253,Install & Protect Wood Flooring @ 3rd Floor,5,,,3
250,Install Architectural Finishes & Trim  @ 3rd Floor,10,,,3
263,Install Barn Door @ 3rd Floor,6,,,3
194,Install Bathroom Fixtures & Accessories @ 3rd Floor,5,,,3
205,Install Clerestory Windows @ 3rd Floor,5,,,3
270,Install Corridor Carpet @ 3rd Floor,5,,,3
260,Install Doors @ 3rd Floor,5,,,3
160,Install Electrical Finishes @ 3rd Floor,5,,,3
173,Install FA Devices @ 3rd Floor,5,,,3
267,Install FF&E @ 3rd Floor,15,,,3
170,Install Lighting @ 3rd Floor,4,,,3
257,Install Millwork @ 3rd Floor,15,25-Apr-16,,3
150,Install Plumbing Finishes @ 3rd Floor,1,14-Dec-15,15-Dec-15,3
140,Install Sprinkler Heads @ 3rd Floor,4,16-Feb-16,22-Feb-16,3
8,Install Support Steel in Wall Openings @ 3rd Floor,20,24-Nov-14,22-Dec-14,3
180,"Install Vanity, Sink & Shower Enclosure @ 3rd Floor",6,,,3
10,Layout & Top Track @ 3rd Floor,5,14-Nov-13,22-Jul-14,3
280,Perform Plumbing & Sprinkler Finish Inspection @ 3rd Floor,1,,,3
120,Prime Paint @ 3rd Floor,5,,,3
300,Punchlist  @ 3rd Floor,5,,,3
20,Rough Duct Work @ 3rd Floor,10,8-Jan-15,28-Jan-15,3
60,Rough Electrical/FA/BMS @ 3rd Floor,10,23-Nov-15,11-Dec-15,3
30,Rough Mechanical Piping @ 3rd Floor,10,9-Jan-15,29-Jan-15,3
40,Rough Plumbing @ 3rd Floor,10,23-Nov-15,11-Dec-15,3
50,Rough Sprinkler @ 3rd Floor,10,12-Jan-15,29-Jan-15,3
110,Sheetrock & Tape Walls & Celings @ 3rd Floor,15,21-Mar-16,,3
190,Tile Bathroom Floors & Walls @ 3rd Floor,12,,,3
5,Construct Mechanical Openings @ 4th Floor,20,14-Apr-14,7-Nov-14,4
290,Final Paint @ 4th Floor,4,10-Dec-15,16-Dec-15,4
100,Firestopping & Inspections @ 4th Floor,5,16-Jul-15,20-Jul-15,4
3,Form & Pour Concrete Floor @ 4th Floor,15,31-Mar-14,28-May-14,4
17,Frame & Core Board Risers/Stairs/Elevators @ 4th Floor,10,23-May-14,8-Jul-15,4
70,Frame Walls & Ceilings @ 4th Floor,10,3-Nov-14,21-Aug-15,4
253,Install & Protect Wood Flooring @ 4th Floor,5,10-Nov-15,11-Dec-15,4
250,Install Architectural Finishes & Trim  @ 4th Floor,10,28-Dec-15,17-Feb-16,4
263,Install Barn Door @ 4th Floor,6,1-Feb-16,9-Feb-16,4
194,Install Bathroom Fixtures & Accessories @ 4th Floor,5,12-Oct-15,11-Jan-16,4
205,Install Clerestory Windows @ 4th Floor,5,3-Dec-15,10-Dec-15,4
270,Install Corridor Carpet @ 4th Floor,5,10-Feb-16,16-Feb-16,4
260,Install Doors @ 4th Floor,5,1-Feb-16,9-Feb-16,4
160,Install Electrical Finishes @ 4th Floor,5,15-Dec-15,29-Dec-15,4
173,Install FA Devices @ 4th Floor,5,15-Dec-15,21-Dec-15,4
267,Install FF&E @ 4th Floor,15,21-Dec-15,31-Dec-15,4
170,Install Lighting @ 4th Floor,4,15-Dec-15,30-Dec-15,4
257,Install Millwork @ 4th Floor,15,10-Nov-15,11-Dec-15,4
150,Install Plumbing Finishes @ 4th Floor,1,24-Jul-15,27-Jul-15,4
140,Install Sprinkler Heads @ 4th Floor,4,16-Jul-15,10-Nov-15,4
8,Install Support Steel in Wall Openings @ 4th Floor,20,29-Sep-14,15-Oct-14,4
180,"Install Vanity, Sink & Shower Enclosure @ 4th Floor",6,21-Sep-15,12-Jan-16,4
