id,status,wbs,act_name,duration,start,finish,floor_id
NA.FR1010,Not Started,BH.BL-4.115 Nassau1.Floors.4,Layout & Top Track @ Function Room 1,5,4-Apr-16,5-Apr-16,FR1
NA.FR1012,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install CMU Walls @ Function Room 1,15,9-May-16,,FR1
NA.FR1017,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame & Core Board Risers/Stairs/Elevators @ Function Room 1,10,2-May-16,3-May-16,FR1
NA.FR1020,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Duct Work @ Function Room 1,10,6-Apr-16,7-Apr-16,FR1
NA.FR1030,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Mechanical Piping @ Function Room 1,10,6-Apr-16,27-Apr-16,FR1
NA.FR1040,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Plumbing @ Function Room 1,10,6-Apr-16,7-Apr-16,FR1
NA.FR1060,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Electrical/FA/BMS @ Function Room 1,10,7-Apr-16,27-Apr-16,FR1
NA.FR1070,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame Walls & Ceilings @ Function Room 1,10,,,FR1
NA.FR1100,Not Started,BH.BL-4.115 Nassau1.Floors.4,Firestopping & Inspections @ Function Room 1,5,28-Apr-16,29-Apr-16,FR1
NA.FR1120,Not Started,BH.BL-4.115 Nassau1.Floors.4,Prime Paint @ Function Room 1,5,,,FR1
NA.FR1130,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Mechanical Finishes @ Function Room 1,2,,,FR1
NA.FR1140,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Sprinkler Heads @ Function Room 1,4,,,FR1
NA.FR1150,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Finishes @ Function Room 1,2,,,FR1
NA.FR1160,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Electrical Finishes @ Function Room 1,5,,,FR1
NA.FR1170,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Lighting @ Function Room 1,4,,,FR1
NA.FR1173,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install FA Devices @ Function Room 1,5,,,FR1
NA.FR1230,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Flooring @ Function Room 1,6,,,FR1
NA.FR1250,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Architectural Finishes & Trim  @ Function Room 1,10,,,FR1
NA.FR1257,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Millwork @ Function Room 1,15,,,FR1
NA.FR1262,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Movable Partitions @ Function Room 1,5,,,FR1
NA.FR1280,Not Started,BH.BL-4.115 Nassau1.Floors.4,Perform Plumbing & Sprinkler Finish Inspection @ Function Room 1,1,,,FR1
NA.FR1290,Not Started,BH.BL-4.115 Nassau1.Floors.4,Final Paint @ Function Room 1,4,,,FR1
NA.FR1300,Not Started,BH.BL-4.115 Nassau1.Floors.4,Punchlist  @ Function Room 1,5,6-Apr-16,7-Apr-16,FR1
NA.FR2010,Not Started,BH.BL-4.115 Nassau1.Floors.4,Layout & Top Track @ Function Room 2,5,8-Apr-16,8-Apr-16,FR2
NA.FR2012,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install CMU Walls @ Function Room 2,15,,,FR2
NA.FR2017,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame & Core Board Risers/Stairs/Elevators @ Function Room 2,10,,,FR2
NA.FR2020,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Duct Work @ Function Room 2,10,8-Apr-16,8-Apr-16,FR2
NA.FR2030,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Mechanical Piping @ Function Room 2,10,11-Apr-16,3-May-16,FR2
NA.FR2040,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Plumbing @ Function Room 2,10,21-Apr-16,29-Apr-16,FR2
NA.FR2060,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Electrical/FA/BMS @ Function Room 2,10,2-May-16,2-May-16,FR2
NA.FR2070,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame Walls & Ceilings @ Function Room 2,10,,,FR2
NA.FR2100,Not Started,BH.BL-4.115 Nassau1.Floors.4,Firestopping & Inspections @ Function Room 2,5,4-May-16,5-May-16,FR2
NA.FR2120,Not Started,BH.BL-4.115 Nassau1.Floors.4,Prime Paint @ Function Room 2,5,,,FR2
NA.FR2130,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Mechanical Finishes @ Function Room 2,2,,,FR2
NA.FR2140,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Sprinkler Heads @ Function Room 2,4,,,FR2
NA.FR2150,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Finishes @ Function Room 2,2,,,FR2
NA.FR2160,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Electrical Finishes @ Function Room 2,5,,,FR2
NA.FR2170,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Lighting @ Function Room 2,4,,,FR2
NA.FR2173,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install FA Devices @ Function Room 2,5,,,FR2
NA.FR2230,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Flooring @ Function Room 2,6,,,FR2
NA.FR2250,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Architectural Finishes & Trim  @ Function Room 2,10,8-Sep-15,10-Sep-15,FR2
NA.FR2257,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Millwork @ Function Room 2,15,,,FR2
NA.FR2262,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Movable Partitions @ Function Room 2,5,,,FR2
