pred_id,succ_id,pred_type,pred_status,succ_status,lag
NA.SC010,NA.SC020,FS,Not Started,Not Started,0
NA.SC012,NA.SC015,FS,Not Started,Not Started,0
NA.SC015,NA.SC110,FF,Not Started,Not Started,5
NA.SC017,NA.SC070,FS,Not Started,Not Started,0
NA.SC020,NA.SC030,SS,Not Started,Not Started,2
NA.SC030,NA.SC040,SS,Not Started,Not Started,2
NA.SC040,NA.SC050,SS,Not Started,Not Started,2
NA.SC050,NA.SC060,SS,Not Started,Not Started,2
NA.SC060,NA.SC070,FS,Not Started,Not Started,0
NA.SC070,NA.SC110,FS,Not Started,Not Started,0
NA.SC080,NA.SC110,FS,Not Started,Not Started,0
NA.SC090,NA.SC160,FS,Not Started,Not Started,0
NA.SC100,NA.SC110,FS,Not Started,Not Started,0
NA.SC110,NA.SC120,FS,Not Started,Not Started,0
NA.SC120,NA.SC180,FS,Not Started,Not Started,0
NA.SC123,NA.SC190,FS,Not Started,Not Started,0
NA.SC127,NA.SC197,FS,Not Started,Not Started,0
NA.SC130,NA.SC140,FS,Not Started,Not Started,0
NA.SC140,NA.SC150,FS,Not Started,Not Started,0
NA.SC150,NA.SC160,FS,Not Started,Not Started,0
NA.SC160,NA.SC170,FS,Not Started,Not Started,0
NA.SC170,NA.SC250,FS,Not Started,Not Started,0
NA.SC175,NA.SC190,FS,Not Started,Not Started,0
NA.SC180,NA.SC190,FS,Not Started,Not Started,0
NA.SC190,NA.SC160,FS,Not Started,Not Started,0
NA.SC194,NA.SC250,FS,Not Started,Not Started,0
NA.SC197,NA.SC245,FS,Not Started,Not Started,0
NA.SC200,NA.SC210,FS,Not Started,Not Started,0
NA.SC210,NA.SC220,FS,Not Started,Not Started,0
NA.SC220,NA.SC240,FS,Not Started,Not Started,0
NA.SC230,NA.SC260,FS,Not Started,Not Started,0
NA.SC240,NA.SC230,FS,Not Started,Not Started,0
NA.SC245,NA.SC230,FS,Not Started,Not Started,0
NA.SC250,NA.SC290,FS,Not Started,Not Started,0
NA.SC260,NA.SC290,FS,Not Started,Not Started,0
NA.SC270,NA.SC290,FS,Not Started,Not Started,0
NA.SC280,NA.SC300,FF,Not Started,Not Started,0
NA.SC290,NA.SC300,FF,Not Started,Not Started,0
NA.SC295,NA.SC300,FF,Not Started,Not Started,0
NA.SC300,NA.CL300,FF,Not Started,Not Started,0
NA.SC010,NA.SC080,FS,Not Started,Not Started,0
NA.SC012,NA.SC020,FS,Not Started,Not Started,0
NA.SC020,NA.SC030,FF,Not Started,Not Started,2
NA.SC030,NA.SC040,FF,Not Started,Not Started,2
